,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
66,"My Lover, My Son",96.0,1970,1970,John Newland,1,Edward Grierson,Jenni Hall,William Marchant,Romy Schneider,Donald Houston,Dennis Waterman,Drama,,,5.1,1,1,2,1,1,6.459,5.1,5.9,5.1,5.1,5.1,0.0,1.0,0.0
67,Myra Breckinridge,94.0,1970,1970,Michael Sarne,1,Gore Vidal,Michael Sarne,David Giler,Mae West,John Huston,Raquel Welch,Comedy,,,4.5,1,2,1,4,1,6.016,4.5,4.5,6.125,4.5,4.95,0.0,0.0,1.0
68,Nam's Angels,95.0,1970,1970,Jack Starrett,1,Alan Caillou,,,William Smith,Bernie Hamilton,Adam Roarke,Action,Drama,Thriller,5.4,7,2,4,1,2,6.077,6.014,5.125,5.4,6.05,5.7,6.0,0.0,0.0
69,No Blade of Grass,96.0,1970,1970,Cornel Wilde,1,Sean Forestal,Cornel Wilde,John Christopher,Nigel Davenport,Jean Wallace,John Hamill,Drama,Sci-Fi,,5.9,2,1,2,1,1,6.459,5.3,6.2,5.9,5.9,5.9,0.0,1.0,0.0
70,Norwood,96.0,1970,1970,Jack Haley Jr.,1,Charles Portis,Marguerite Roberts,,Glen Campbell,Kim Darby,Joe Namath,Comedy,,,5.4,3,2,1,3,1,6.016,6.733,5.4,5.167,5.4,6.15,0.0,0.0,1.0
71,On a Clear Day You Can See Forever,129.0,1970,1970,Vincente Minnelli,1,Alan Jay Lerner,,,Barbra Streisand,Yves Montand,Bob Newhart,Comedy,Drama,Fantasy,6.4,2,1,12,1,3,6.016,5.8,6.542,6.4,6.8,6.4,0.0,0.0,1.0
72,The Only Game in Town,113.0,1970,1970,George Stevens,1,Frank D. Gilroy,,,Elizabeth Taylor,Warren Beatty,Charles Braswell,Comedy,Drama,Romance,5.8,1,3,5,1,1,6.016,5.8,5.58,5.8,5.8,5.7,0.0,0.0,1.0
73,The Owl and the Pussycat,95.0,1970,1970,Herbert Ross,1,Bill Manhoff,Buck Henry,,Barbra Streisand,George Segal,Robert Klein,Comedy,Romance,,6.5,21,1,12,3,2,6.016,6.505,6.542,6.333,6.0,6.5,0.0,0.0,14.0
74,Patton,172.0,1970,1970,Franklin J. Schaffner,1,Francis Ford Coppola,Edmund H. North,Ladislas Farago,George C. Scott,Karl Malden,Stephen Young,Biography,Drama,War,7.9,4,3,15,1,2,6.939,6.325,6.48,7.9,7.25,8.233,0.0,0.0,0.0
75,The People Next Door,93.0,1970,1970,David Greene,1,J.P. Miller,,,Eli Wallach,Julie Harris,Deborah Winters,Drama,,,6.4,3,1,1,1,1,6.459,6.367,6.4,6.4,6.4,6.4,0.0,1.0,0.0
76,The Phantom Tollbooth,90.0,1970,1970,Chuck Jones,1,Chuck Jones,Sam Rosen,Norton Juster,Butch Patrick,Hans Conried,Mel Blanc,Animation,Adventure,Comedy,6.9,3,1,1,1,2,6.623,7.1,6.9,6.9,6.25,6.9,0.0,0.0,0.0
77,The Phynx,81.0,1970,1970,Lee H. Katzin,1,Bob Booker,George Foster,Stan Cornyn,Michael A. Miller,Ray Chippeway,Dennis Larden,Comedy,Music,,4.6,3,1,1,1,1,6.016,5.533,4.6,4.6,4.6,4.6,0.0,0.0,1.0
78,Pieces of Dreams,100.0,1970,1970,Daniel Haller,1,William E. Barrett,Roger O. Hirson,John McCollam,Robert Forster,Lauren Hutton,Will Geer,Drama,,,5.0,2,1,4,2,1,6.459,5.2,5.675,5.65,5.0,5.0,0.0,1.0,0.0
79,Pigeons,77.0,1970,1970,Andy Milligan,1,Andy Milligan,,,Julie Shaw,Berwick Kaler,Elaine Shore,Drama,,,5.8,1,1,1,1,1,6.459,5.8,5.8,5.8,5.8,5.8,0.0,1.0,0.0
80,Pufnstuf,98.0,1970,1970,Hollingsworth Morse,1,John Fenton Murray,Si Rose,,Jack Wild,Billie Hayes,Martha Raye,Adventure,Comedy,Family,6.7,3,1,1,1,1,6.206,5.833,6.7,6.7,6.7,6.7,0.0,0.0,0.0
81,"Pussycat, Pussycat, I Love You",100.0,1970,1970,Rod Amateau,1,Rod Amateau,Woody Allen,,Ian McShane,Anna Calder-Marshall,John Gavin,Comedy,,,4.5,5,3,1,1,1,6.016,4.62,4.5,4.5,4.5,5.2,0.0,0.0,4.0
82,Puzzle of a Downfall Child,105.0,1970,1970,Jerry Schatzberg,1,Jerry Schatzberg,Carole Eastman,,Faye Dunaway,Barry Primus,Viveca Lindfors,Drama,,,6.6,7,1,5,1,1,6.459,6.471,6.64,6.6,6.6,6.6,0.0,5.0,0.0
83,"Rabbit, Run",94.0,1970,1970,Jack Smight,1,John Updike,Howard B. Kreitsek,,James Caan,Anjanette Comer,Carrie Snodgress,Drama,,,5.5,7,2,12,2,3,6.459,5.557,6.292,5.55,6.6,6.05,0.0,1.0,0.0
84,The Rebel Rousers,78.0,1970,1970,Martin B. Cohen,1,Martin B. Cohen,Michael Kars,Abe Polsky,Cameron Mitchell,Bruce Dern,Diane Ladd,Crime,Drama,,4.1,1,1,2,7,5,6.499,4.1,4.7,6.386,5.68,4.1,0.0,0.0,0.0
85,Rio Lobo,114.0,1970,1970,Howard Hawks,1,Burton Wohl,Leigh Brackett,,John Wayne,Jorge Rivero,Jennifer O'Neill,War,Western,,6.8,1,1,8,1,2,6.8,6.8,6.962,6.8,6.45,6.8,0.0,0.0,0.0
86,Savage Intruder,100.0,1970,1970,Donald Wolfe,1,Donald Wolfe,,,Miriam Hopkins,David Garfield,Gale Sondergaard,Horror,Thriller,,5.6,1,1,1,1,1,5.441,5.6,5.6,5.6,5.6,5.6,0.0,0.0,0.0
87,Skullduggery,105.0,1970,1970,Gordon Douglas,1,Nelson Gidding,Vercors,,Burt Reynolds,Susan Clark,Roger C. Carmel,Adventure,,,4.6,5,1,24,4,2,6.206,5.26,5.512,6.225,5.8,4.6,0.0,0.0,0.0
88,Soldier Blue,115.0,1970,1970,Ralph Nelson,1,Theodore V. Olsen,John Gay,,Candice Bergen,Peter Strauss,Donald Pleasence,Western,,,6.9,4,1,3,1,4,6.152,6.2,6.5,6.9,6.0,6.9,0.0,0.0,0.0
89,Something for Everyone,112.0,1970,1970,Harold Prince,1,Harry Kressing,Hugh Wheeler,,Angela Lansbury,Michael York,Anthony Higgins,Comedy,Crime,Drama,7.2,2,1,3,3,3,6.016,6.4,6.833,6.2,6.267,7.2,0.0,0.0,2.0
90,Song of Norway,138.0,1970,1970,Andrew L. Stone,1,Homer Curran,Milton Lazarus,Andrew L. Stone,Florence Henderson,Toralv Maurstad,Christina Schollin,Biography,Drama,Musical,4.1,1,1,1,1,1,6.939,4.1,4.1,4.1,4.1,4.1,0.0,0.0,0.0
91,Start the Revolution Without Me,90.0,1970,1970,Bud Yorkin,1,Fred Freeman,Lawrence J. Cohen,,Gene Wilder,Donald Sutherland,Hugh Griffith,Comedy,History,,6.5,4,2,12,6,1,6.016,5.95,6.375,6.283,6.5,6.05,0.0,0.0,3.0
92,The Strawberry Statement,109.0,1970,1970,Stuart Hagmann,1,James Kunen,Israel Horovitz,,Bruce Davison,Kim Darby,Bud Cort,Drama,Romance,,6.7,1,1,4,3,3,6.459,6.7,6.225,5.167,5.733,6.7,0.0,1.0,0.0
93,Suppose They Gave a War and Nobody Came,113.0,1970,1970,Hy Averback,1,Hal Captain,Don McGuire,,Brian Keith,Tony Curtis,Ernest Borgnine,Comedy,Drama,,5.5,1,1,3,4,4,6.016,5.5,5.967,6.5,5.65,5.5,0.0,0.0,1.0
94,"Tell Me That You Love Me, Junie Moon",113.0,1970,1970,Otto Preminger,1,Marjorie Kellogg,,,Liza Minnelli,Ken Howard,Robert Moore,Comedy,Drama,Romance,6.1,3,1,6,2,1,6.016,5.767,6.367,6.05,6.1,6.1,0.0,0.0,2.0
95,There Was a Crooked Man...,126.0,1970,1970,Joseph L. Mankiewicz,1,David Newman,Robert Benton,,Kirk Douglas,Henry Fonda,Hume Cronyn,Comedy,Western,,6.9,1,3,8,4,2,6.016,6.9,5.85,6.5,6.8,6.033,0.0,0.0,1.0
96,They Call Me MISTER Tibbs!,108.0,1970,1970,Gordon Douglas,1,Alan Trustman,James R. Webb,John Ball,Sidney Poitier,Martin Landau,Barbara McNair,Crime,Drama,Mystery,6.1,5,3,10,5,1,6.499,5.26,6.41,6.34,6.1,6.333,0.0,0.0,0.0
97,...tick...tick...tick...,100.0,1970,1970,Ralph Nelson,1,James Lee Barrett,,,Jim Brown,George Kennedy,Fredric March,Drama,Action,,6.7,4,3,7,6,1,6.459,6.2,5.957,5.717,6.7,6.433,0.0,1.0,0.0
98,Tiger by the Tail,99.0,1970,1970,R.G. Springsteen,1,Charles A. Wallace,,,Christopher George,Tippi Hedren,Dean Jagger,Drama,Thriller,,5.7,1,1,2,1,1,6.459,5.7,5.5,5.7,5.7,5.7,0.0,1.0,0.0
