,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4917,Freaky Friday,97.0,2003,2003,1,Mark Waters,Mary Rodgers,Heather Hach,Leslie Dixon,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,Comedy,Family,Fantasy,6.2
4918,Freddy vs. Jason,97.0,2003,2003,1,Ronny Yu,Wes Craven,Victor Miller,Damian Shannon,Robert Englund,Ken Kirzinger,Kelly Rowland,Action,Horror,,5.7
4919,From Justin to Kelly,81.0,2003,2003,1,Robert Iscove,Kim Fuller,,,Kelly Clarkson,Justin Guarini,Katherine Bailess,Comedy,Musical,Romance,2.1
4920,Gang of Roses,94.0,2003,2003,1,Jean-Claude La Marre,Jean-Claude La Marre,,,Monica Calhoun,Lil' Kim,Stacey Dash,Action,Drama,Western,2.5
4921,Shrek 2,93.0,2004,2004,1,Andrew Adamson,William Steig,Andrew Adamson,Joe Stillman,Mike Myers,Eddie Murphy,Cameron Diaz,Animation,Adventure,Comedy,7.2
4922,Spider-Man 2,127.0,2004,2004,1,Sam Raimi,Stan Lee,Steve Ditko,Alfred Gough,Tobey Maguire,Kirsten Dunst,Alfred Molina,Action,Adventure,Sci-Fi,7.4
4923,The Passion of the Christ,127.0,2004,2004,1,Mel Gibson,Benedict Fitzgerald,Mel Gibson,,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Drama,,,7.2
4924,Harry Potter and the Prisoner of Azkaban,142.0,2004,2004,1,Alfonso Cuarón,J.K. Rowling,Steve Kloves,,Daniel Radcliffe,Emma Watson,Rupert Grint,Adventure,Family,Fantasy,7.9
4925,The Incredibles,115.0,2004,2004,1,Brad Bird,Brad Bird,,,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Animation,Action,Adventure,8.0
4926,The Day After Tomorrow,124.0,2004,2004,1,Roland Emmerich,Roland Emmerich,Jeffrey Nachmanoff,,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Action,Adventure,Sci-Fi,6.4
4927,The Bourne Supremacy,108.0,2004,2004,1,Paul Greengrass,Robert Ludlum,Tony Gilroy,,Matt Damon,Franka Potente,Joan Allen,Action,Mystery,Thriller,7.7
4928,Shark Tale,90.0,2004,2004,1,Bibo Bergeron,Michael J. Wilson,Rob Letterman,Scott Aukerman,Will Smith,Robert De Niro,Renée Zellweger,Animation,Adventure,Comedy,6.0
4929,The Polar Express,100.0,2004,2004,1,Robert Zemeckis,Chris Van Allsburg,Robert Zemeckis,William Broyles Jr.,Tom Hanks,Chris Coppola,Michael Jeter,Animation,Adventure,Comedy,6.6
4930,National Treasure,131.0,2004,2004,1,Jon Turteltaub,Jim Kouf,Cormac Wibberley,Marianne Wibberley,Nicolas Cage,Diane Kruger,Justin Bartha,Action,Adventure,Mystery,6.9
4931,Chasing Liberty,101.0,2004,2004,1,Andy Cadiff,Derek Guiley,David Schneiderman,,Mandy Moore,Matthew Goode,Mark Harmon,Comedy,Romance,,6.1
4932,My Baby's Daddy,86.0,2004,2004,0,Cheryl Dunye,Eddie Griffin,Coke Daniels,Brent Goldberg,Eddie Griffin,Anthony Anderson,Michael Imperioli,Comedy,,,4.6
4933,Along Came Polly,90.0,2004,2004,1,John Hamburg,John Hamburg,,,Ben Stiller,Jennifer Aniston,Debra Messing,Comedy,Romance,,6.0
4934,Torque,84.0,2004,2004,1,Joseph Kahn,Matt Johnson,,,Martin Henderson,Ice Cube,Monet Mazur,Action,Comedy,Crime,4.1
4935,D.E.B.S.,91.0,2004,2004,0,Angela Robinson,Angela Robinson,,,Sara Foster,Jordana Brewster,Devon Aoki,Action,Comedy,Romance,5.4
4936,The Butterfly Effect,113.0,2004,2004,1,Eric Bress,J. Mackye Gruber,Eric Bress,,Ashton Kutcher,Amy Smart,Melora Walters,Drama,Sci-Fi,Thriller,7.6
4937,Win a Date with Tad Hamilton!,96.0,2004,2004,1,Robert Luketic,Victor Levin,,,Kate Bosworth,Josh Duhamel,Topher Grace,Comedy,Romance,,5.6
4938,The Big Bounce,88.0,2004,2004,1,George Armitage,Elmore Leonard,Sebastian Gutierrez,,Owen Wilson,Morgan Freeman,Gary Sinise,Comedy,Crime,,4.9
4939,The Perfect Score,93.0,2004,2004,1,Brian Robbins,Marc Hyman,Jon Zack,Mark Schwahn,Scarlett Johansson,Erika Christensen,Chris Evans,Comedy,Crime,Drama,5.7
4940,You Got Served,95.0,2004,2004,1,Chris Stokes,Chris Stokes,,,Omarion,Jarell Houston,Raz B,Drama,Music,,3.9
4941,Barbershop 2: Back in Business,106.0,2004,2004,1,Kevin Rodney Sullivan,Mark Brown,Don D. Scott,,Ice Cube,Cedric the Entertainer,Eve,Comedy,Drama,,5.7
4942,Catch That Kid,91.0,2004,2004,1,Bart Freundlich,Nikolaj Arcel,Fabian Wullenweber,Erlend Loe,Kristen Stewart,Sam Robards,Jennifer Beals,Action,Adventure,Comedy,5.3
4943,Miracle,135.0,2004,2004,1,Gavin O'Connor,Eric Guggenheim,,,Kurt Russell,Patricia Clarkson,Nathan West,Biography,Drama,History,7.5
4944,50 First Dates,99.0,2004,2004,1,Peter Segal,George Wing,,,Adam Sandler,Drew Barrymore,Rob Schneider,Comedy,Drama,Romance,6.8
4945,Against the Ropes,110.0,2004,2004,1,Charles S. Dutton,Jackie Kallen,Cheryl Edwards,,Meg Ryan,Omar Epps,Charles S. Dutton,Biography,Drama,Romance,5.3
4946,Clifford's Really Big Movie,74.0,2004,2004,1,Robert C. Ramirez,Rhett Reese,Robert C. Ramirez,Norman Bridwell,John Ritter,Cree Summer,Kel Mitchell,Animation,Adventure,Comedy,5.5
4947,Confessions of a Teenage Drama Queen,89.0,2004,2004,0,Sara Sugarman,Dyan Sheldon,Gail Parent,,Lindsay Lohan,Megan Fox,Adam Garcia,Comedy,Family,Music,4.7
4948,EuroTrip,92.0,2004,2004,1,Jeff Schaffer,Alec Berg,David Mandel,Jeff Schaffer,Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg,Comedy,,,6.6
4949,Welcome to Mooseport,110.0,2004,2004,1,Donald Petrie,Doug Richardson,Tom Schulman,,Gene Hackman,Ray Romano,Maura Tierney,Comedy,Romance,,5.2
4950,The Passion of the Christ,127.0,2004,2004,1,Mel Gibson,Benedict Fitzgerald,Mel Gibson,,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Drama,,,7.2
4951,Club Dread,104.0,2004,2004,1,Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Jay Chandrasekhar,Bill Paxton,Kevin Heffernan,Comedy,Horror,Mystery,5.7
4952,Hidalgo,136.0,2004,2004,1,Joe Johnston,John Fusco,,,Viggo Mortensen,Omar Sharif,Zuleikha Robinson,Action,Adventure,Biography,6.7
4953,Agent Cody Banks 2: Destination London,100.0,2004,2004,1,Kevin Allen,Jeffrey Jurgensen,Harald Zwart,Dylan Sellers,Frankie Muniz,Anthony Anderson,Hannah Spearritt,Action,Adventure,Comedy,4.6
4954,Secret Window,96.0,2004,2004,1,David Koepp,Stephen King,David Koepp,,Johnny Depp,Maria Bello,John Turturro,Drama,Mystery,Thriller,6.5
4955,Spartan,106.0,2004,2004,1,David Mamet,David Mamet,,,Val Kilmer,Derek Luke,William H. Macy,Action,Crime,Drama,6.5
4956,Dawn of the Dead,101.0,2004,2004,1,Zack Snyder,George A. Romero,James Gunn,,Sarah Polley,Ving Rhames,Mekhi Phifer,Action,Horror,,7.3
4957,Eternal Sunshine of the Spotless Mind,108.0,2004,2004,1,Michel Gondry,Charlie Kaufman,Michel Gondry,Pierre Bismuth,Jim Carrey,Kate Winslet,Tom Wilkinson,Drama,Romance,Sci-Fi,8.3
4958,Taking Lives,103.0,2004,2004,1,D.J. Caruso,Michael Pye,Jon Bokenkamp,,Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Crime,Mystery,Thriller,6.2
4959,Mango Kiss,84.0,2004,2004,1,Sascha Rice,Sarah Brown,Sascha Rice,,Danièle Ferraro,Michelle Wolff,Sally Kirkland,Comedy,Romance,,4.8
4960,Jersey Girl,102.0,2004,2004,1,Kevin Smith,Kevin Smith,,,Ben Affleck,Liv Tyler,Raquel Castro,Comedy,Drama,Romance,6.2
4961,The Ladykillers,104.0,2004,2004,1,Ethan Coen,Joel Coen,Ethan Coen,William Rose,Tom Hanks,Marlon Wayans,Irma P. Hall,Comedy,Crime,Thriller,6.2
4962,Never Die Alone,88.0,2004,2004,1,Ernest R. Dickerson,Donald Goines,James Gibson,,DMX,David Arquette,Michael Ealy,Action,Crime,Drama,5.7
4963,Scooby-Doo 2: Monsters Unleashed,93.0,2004,2004,1,Raja Gosnell,William Hanna,Joseph Barbera,James Gunn,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Adventure,Comedy,Family,5.2
4964,Girl Play,80.0,2004,2004,1,Lee Friedlander,Lee Friedlander,Robin Greenspan,Lacie Harmon,Robin Greenspan,Lacie Harmon,Mink Stole,Comedy,Romance,,4.5
4965,Home on the Range,76.0,2004,2004,1,Will Finn,Will Finn,John Sanford,Michael LaBash,Judi Dench,Cuba Gooding Jr.,Jennifer Tilly,Animation,Adventure,Comedy,5.4
4966,The Prince and Me,111.0,2004,2004,0,Martha Coolidge,Mark Amin,Katherine Fugate,Jack Amiel,Julia Stiles,Luke Mably,Miranda Richardson,Comedy,Family,Romance,5.9
4967,Walking Tall,86.0,2004,2004,1,Kevin Bray,Mort Briskin,David Klass,Channing Gibson,Dwayne Johnson,Ashley Scott,Johnny Knoxville,Action,Crime,,6.3
4968,Johnson Family Vacation,97.0,2004,2004,1,Christopher Erskin,Todd R. Jones,Earl Richey Jones,,Cedric the Entertainer,Shannon Elizabeth,Shad Moss,Comedy,,,4.5
4969,The Whole Ten Yards,98.0,2004,2004,1,Howard Deutch,Mitchell Kapner,George Gallo,,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy,Crime,Thriller,5.5
4970,Ella Enchanted,96.0,2004,2004,1,Tommy O'Haver,Laurie Craig,Karen McCullah,Kirsten Smith,Anne Hathaway,Hugh Dancy,Cary Elwes,Comedy,Family,Fantasy,6.3
4971,Shaun of the Dead,99.0,2004,2004,1,Edgar Wright,Simon Pegg,Edgar Wright,,Simon Pegg,Nick Frost,Kate Ashfield,Comedy,Horror,,7.9
4972,Connie and Carla,108.0,2004,2004,1,Michael Lembeck,Nia Vardalos,,,Nia Vardalos,Toni Collette,David Duchovny,Comedy,Crime,Music,6.3
4973,Kill Bill: Volume 2,137.0,2004,2004,1,Quentin Tarantino,Quentin Tarantino,Uma Thurman,,Uma Thurman,David Carradine,Michael Madsen,Action,Crime,Thriller,8.0
4974,13 Going on 30,98.0,2004,2004,1,Gary Winick,Josh Goldsmith,Cathy Yuspa,,Jennifer Garner,Mark Ruffalo,Judy Greer,Comedy,Fantasy,Romance,6.2
4975,Clifford's Really Big Movie,74.0,2004,2004,1,Robert C. Ramirez,Rhett Reese,Robert C. Ramirez,Norman Bridwell,John Ritter,Cree Summer,Kel Mitchell,Animation,Adventure,Comedy,5.5
4976,Man on Fire,146.0,2004,2004,1,Tony Scott,A.J. Quinnell,Brian Helgeland,,Denzel Washington,Christopher Walken,Dakota Fanning,Action,Crime,Drama,7.7
4977,Bobby Jones: Stroke of Genius,123.0,2004,2004,1,Rowdy Herrington,Rowdy Herrington,Kim Dawson,Bill Pryor,Jim Caviezel,Claire Forlani,Jeremy Northam,Biography,Drama,Romance,6.7
4978,Envy,99.0,2004,2004,1,Barry Levinson,Steve Adams,,,Ben Stiller,Jack Black,Rachel Weisz,Comedy,,,4.8
4979,Godsend,102.0,2004,2004,1,Nick Hamm,Mark Bomback,,,Robert De Niro,Greg Kinnear,Rebecca Romijn,Drama,Fantasy,Horror,4.8
4980,Laws of Attraction,90.0,2004,2004,1,Peter Howitt,Aline Brosh McKenna,Robert Harling,,Pierce Brosnan,Julianne Moore,Parker Posey,Comedy,Romance,,5.9
4981,Mean Girls,97.0,2004,2004,1,Mark Waters,Rosalind Wiseman,Tina Fey,,Lindsay Lohan,Jonathan Bennett,Rachel McAdams,Comedy,,,7.0
4982,New York Minute,91.0,2004,2004,0,Dennie Gordon,Emily Fox,Adam Cooper,Bill Collage,Mary-Kate Olsen,Ashley Olsen,Eugene Levy,Comedy,Crime,Family,5.0
4983,Off the Lip,87.0,2004,2004,1,Robert Mickelson,Shem Bitterman,Robert Mickelson,,Marguerite Moreau,Mackenzie Astin,Adam Scott,Adventure,Comedy,Sport,5.3
4984,Super Size Me,100.0,2004,2004,1,Morgan Spurlock,Morgan Spurlock,,,Morgan Spurlock,Daryl Isaacs,Chemeeka Walker,Documentary,,,7.2
4985,Van Helsing,131.0,2004,2004,1,Stephen Sommers,Stephen Sommers,,,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Action,Adventure,Fantasy,6.1
4986,Breakin' All the Rules,85.0,2004,2004,1,Daniel Taplitz,Daniel Taplitz,,,Jamie Foxx,Gabrielle Union,Morris Chestnut,Comedy,Romance,,5.7
4987,Troy,163.0,2004,2004,1,Wolfgang Petersen,Homer,David Benioff,,Brad Pitt,Eric Bana,Orlando Bloom,Drama,History,,7.3
4988,Shrek 2,93.0,2004,2004,1,Andrew Adamson,William Steig,Andrew Adamson,Joe Stillman,Mike Myers,Eddie Murphy,Cameron Diaz,Animation,Adventure,Comedy,7.2
4989,Stateside,97.0,2004,2004,1,Reverge Anselmo,Reverge Anselmo,,,Jonathan Tucker,Rachael Leigh Cook,Agnes Bruckner,Drama,Music,Romance,5.9
4990,The Day After Tomorrow,124.0,2004,2004,1,Roland Emmerich,Roland Emmerich,Jeffrey Nachmanoff,,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Action,Adventure,Sci-Fi,6.4
4991,Raising Helen,119.0,2004,2004,1,Garry Marshall,Patrick J. Clifton,Beth Rigazio,Jack Amiel,Kate Hudson,John Corbett,Joan Cusack,Comedy,Drama,Romance,6.0
4992,Saved!,92.0,2004,2004,1,Brian Dannelly,Brian Dannelly,Michael Urban,,Jena Malone,Mandy Moore,Macaulay Culkin,Comedy,Drama,,6.7
4993,Soul Plane,86.0,2004,2004,1,Jessy Terrero,Bo Zenga,Chuck Wilson,,Dwayne Adway,Snoop Dogg,Tom Arnold,Comedy,,,4.5
4994,Harry Potter and the Prisoner of Azkaban,142.0,2004,2004,1,Alfonso Cuarón,J.K. Rowling,Steve Kloves,,Daniel Radcliffe,Emma Watson,Rupert Grint,Adventure,Family,Fantasy,7.9
4995,The Chronicles of Riddick,119.0,2004,2004,1,David Twohy,Jim Wheat,Ken Wheat,David Twohy,Vin Diesel,Judi Dench,Colm Feore,Action,Adventure,Sci-Fi,6.7
4996,Garfield: The Movie,80.0,2004,2004,1,Peter Hewitt,Jim Davis,Joel Cohen,Alec Sokolow,Breckin Meyer,Jennifer Love Hewitt,Stephen Tobolowsky,Animation,Adventure,Comedy,5.1
4997,Napoleon Dynamite,96.0,2004,2004,1,Jared Hess,Jared Hess,Jerusha Hess,,Jon Heder,Efren Ramirez,Jon Gries,Comedy,,,6.9
4998,The Stepford Wives,93.0,2004,2004,1,Frank Oz,Ira Levin,Paul Rudnick,,Nicole Kidman,Bette Midler,Matthew Broderick,Comedy,Horror,Sci-Fi,5.3
4999,DodgeBall: A True Underdog Story,92.0,2004,2004,1,Rawson Marshall Thurber,Rawson Marshall Thurber,,,Ben Stiller,Christine Taylor,Vince Vaughn,Comedy,Sport,,6.7
5000,The Terminal,128.0,2004,2004,1,Steven Spielberg,Andrew Niccol,Sacha Gervasi,Jeff Nathanson,Tom Hanks,Catherine Zeta-Jones,Chi McBride,Comedy,Drama,Romance,7.4
5001,White Chicks,109.0,2004,2004,1,Keenen Ivory Wayans,Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans,Marlon Wayans,Shawn Wayans,Busy Philipps,Comedy,Crime,,5.7
5002,Fahrenheit 9/11,122.0,2004,2004,1,Michael Moore,Michael Moore,,,Michael Moore,George W. Bush,Ben Affleck,Documentary,Drama,War,7.5
5003,The Notebook,123.0,2004,2004,1,Nick Cassavetes,Jeremy Leven,Jan Sardi,Nicholas Sparks,Gena Rowlands,James Garner,Rachel McAdams,Drama,Romance,,7.8
5004,Two Brothers,109.0,2004,2004,1,Jean-Jacques Annaud,Alain Godard,Jean-Jacques Annaud,Julian Fellowes,Guy Pearce,Freddie Highmore,Jean-Claude Dreyfus,Adventure,Drama,Family,7.0
5005,Spider-Man 2,127.0,2004,2004,1,Sam Raimi,Stan Lee,Steve Ditko,Alfred Gough,Tobey Maguire,Kirsten Dunst,Alfred Molina,Action,Adventure,Sci-Fi,7.4
5006,Before Sunset,80.0,2004,2004,1,Richard Linklater,Richard Linklater,Julie Delpy,Ethan Hawke,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Drama,Romance,,8.1
5007,The Clearing,95.0,2004,2004,1,Pieter Jan Brugge,Pieter Jan Brugge,Justin Haythe,,Robert Redford,Willem Dafoe,Helen Mirren,Drama,Mystery,Thriller,5.8
5008,De-Lovely,125.0,2004,2004,1,Irwin Winkler,Jay Cocks,,,Kevin Kline,Ashley Judd,Jonathan Pryce,Biography,Drama,Music,6.6
5009,Anchorman: The Legend of Ron Burgundy,94.0,2004,2004,1,Adam McKay,Will Ferrell,Adam McKay,,Will Ferrell,Christina Applegate,Steve Carell,Comedy,,,7.2
5010,Sleepover,89.0,2004,2004,1,Joe Nussbaum,Elisa Bell,,,Alexa PenaVega,Mika Boorem,Scout Taylor-Compton,Comedy,Family,Romance,5.4
5011,The Door in the Floor,111.0,2004,2004,1,Tod Williams,John Irving,Tod Williams,,Jeff Bridges,Kim Basinger,Jon Foster,Comedy,Drama,,6.7
5012,A Cinderella Story,95.0,2004,2004,1,Mark Rosman,Leigh Dunlap,,,Hilary Duff,Chad Michael Murray,Jennifer Coolidge,Comedy,Family,Romance,5.9
5013,"I, Robot",115.0,2004,2004,1,Alex Proyas,Jeff Vintar,Akiva Goldsman,Isaac Asimov,Will Smith,Bridget Moynahan,Bruce Greenwood,Action,Mystery,Sci-Fi,7.1
5014,The Bourne Supremacy,108.0,2004,2004,1,Paul Greengrass,Robert Ludlum,Tony Gilroy,,Matt Damon,Franka Potente,Joan Allen,Action,Mystery,Thriller,7.7
5015,A Home at the End of the World,97.0,2004,2004,1,Michael Mayer,Michael Cunningham,,,Colin Farrell,Dallas Roberts,Robin Wright,Drama,Romance,,6.7
5016,Thunderbirds,95.0,2004,2004,1,Jonathan Frakes,Gerry Anderson,Sylvia Anderson,Peter Hewitt,Bill Paxton,Anthony Edwards,Ben Kingsley,Action,Adventure,Comedy,4.3
5017,Garden State,102.0,2004,2004,1,Zach Braff,Zach Braff,,,Zach Braff,Peter Sarsgaard,Natalie Portman,Comedy,Drama,Romance,7.4
5018,Harold & Kumar Go to White Castle,88.0,2004,2004,1,Danny Leiner,Jon Hurwitz,Hayden Schlossberg,,John Cho,Kal Penn,Ethan Embry,Adventure,Comedy,,7.0
5019,She Hate Me,138.0,2004,2004,1,Spike Lee,Michael Genet,Spike Lee,,Anthony Mackie,Kerry Washington,Ellen Barkin,Comedy,Drama,,5.3
5020,The Manchurian Candidate,129.0,2004,2004,1,Jonathan Demme,Richard Condon,George Axelrod,Daniel Pyne,Denzel Washington,Liev Schreiber,Meryl Streep,Drama,Mystery,Sci-Fi,6.6
5021,The Village,108.0,2004,2004,1,M. Night Shyamalan,M. Night Shyamalan,,,Sigourney Weaver,William Hurt,Joaquin Phoenix,Drama,Mystery,Thriller,6.5
5022,Collateral,1.0,2004,2004,1,Michael Mann,Stuart Beattie,,,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Action,Crime,Drama,7.5
5023,Little Black Book,107.0,2004,2004,1,Nick Hurran,Melissa Carter,Elisa Bell,,Brittany Murphy,Ron Livingston,Holly Hunter,Comedy,Drama,Romance,5.3
5024,The Princess Diaries 2: Royal Engagement,113.0,2004,2004,1,Garry Marshall,Meg Cabot,Gina Wendkos,Shonda Rhimes,Anne Hathaway,Callum Blue,Julie Andrews,Comedy,Family,Romance,5.9
5025,Alien vs. Predator,101.0,2004,2004,1,Paul W.S. Anderson,Dan O'Bannon,Ronald Shusett,Jim Thomas,Sanaa Lathan,Lance Henriksen,Raoul Bova,Action,Adventure,Horror,5.6
5026,Exorcist: The Beginning,114.0,2004,2004,1,Renny Harlin,William Peter Blatty,William Wisher,Caleb Carr,Stellan Skarsgård,Izabella Scorupco,James D'Arcy,Horror,Mystery,Thriller,5.1
5027,Without a Paddle,95.0,2004,2004,1,Steven Brill,Fred Wolf,Harris Goldberg,Tom Nursall,Matthew Lillard,Seth Green,Dax Shepard,Adventure,Comedy,Mystery,5.9
5028,Anacondas: The Hunt for the Blood Orchid,97.0,2004,2004,1,Dwight H. Little,Hans Bauer,Jim Cash,Jack Epps Jr.,Morris Chestnut,KaDee Strickland,Eugene Byrd,Action,Adventure,Horror,4.7
5029,Superbabies: Baby Geniuses 2,88.0,2004,2004,1,Bob Clark,Robert Grasmere,Francisca Matos,Steven Paul,Jon Voight,Scott Baio,Vanessa Angel,Comedy,Family,Sci-Fi,1.9
5030,Suspect Zero,99.0,2004,2004,1,E. Elias Merhige,Zak Penn,Billy Ray,,Aaron Eckhart,Ben Kingsley,Carrie-Anne Moss,Crime,Horror,Mystery,5.8
5031,5x2,90.0,2004,2004,1,François Ozon,François Ozon,Emmanuèle Bernheim,,Valeria Bruni Tedeschi,Stéphane Freiss,Françoise Fabian,Drama,Romance,,6.6
5032,The Cookout,97.0,2004,2004,1,Lance Rivera,Queen Latifah,Shakim Compere,Darryl French,Quran Pender,Jenifer Lewis,Ja Rule,Comedy,,,3.8
5033,Paparazzi,84.0,2004,2004,1,Paul Abascal,Forry Smith,,,Cole Hauser,Robin Tunney,Dennis Farina,Action,Crime,Drama,5.7
5034,Wicker Park,114.0,2004,2004,1,Paul McGuigan,Gilles Mimouni,Brandon Boyce,,Josh Hartnett,Diane Kruger,Matthew Lillard,Drama,Mystery,Romance,7.0
5035,Cellular,94.0,2004,2004,1,David R. Ellis,Larry Cohen,Chris Morgan,,Kim Basinger,Chris Evans,Jason Statham,Action,Crime,Thriller,6.5
5036,Resident Evil: Apocalypse,94.0,2004,2004,1,Alexander Witt,Paul W.S. Anderson,,,Milla Jovovich,Sienna Guillory,Eric Mabius,Action,Horror,Sci-Fi,6.2
5037,Saving Face,91.0,2004,2004,0,Alice Wu,Alice Wu,,,Joan Chen,Michelle Krusiec,Lynn Chen,Comedy,Drama,Romance,7.4
5038,Funky Monkey,94.0,2004,2004,1,Harry Basil,Lance Kinsey,Peter Nelson,Byron Jelden,Seth Adkins,Matthew Modine,Roma Downey,Comedy,Family,,3.7
5039,Mr. 3000,104.0,2004,2004,1,Charles Stone III,Eric Champnella,Keith Mitchell,Howard Michael Gould,Bernie Mac,Angela Bassett,Michael Rispoli,Comedy,Drama,Romance,5.6
5040,Sky Captain and the World of Tomorrow,106.0,2004,2004,1,Kerry Conran,Kerry Conran,,,Gwyneth Paltrow,Jude Law,Angelina Jolie,Action,Adventure,Mystery,6.0
5041,Wimbledon,98.0,2004,2004,1,Richard Loncraine,Adam Brooks,Jennifer Flackett,Mark Levin,Kirsten Dunst,Paul Bettany,Jon Favreau,Comedy,Romance,Sport,6.3
5042,First Daughter,101.0,2004,2004,1,Andy Cadiff,Derek Guiley,David Schneiderman,,Mandy Moore,Matthew Goode,Mark Harmon,Comedy,Romance,,6.1
5043,I Heart Huckabees,107.0,2004,2004,1,David O. Russell,David O. Russell,Jeff Baena,,Jason Schwartzman,Jude Law,Naomi Watts,Comedy,,,6.6
5044,Ladder 49,115.0,2004,2004,1,Jay Russell,Lewis Colick,,,Joaquin Phoenix,John Travolta,Jacinda Barrett,Action,Drama,Thriller,6.5
5045,Shark Tale,90.0,2004,2004,1,Bibo Bergeron,Michael J. Wilson,Rob Letterman,Scott Aukerman,Will Smith,Robert De Niro,Renée Zellweger,Animation,Adventure,Comedy,6.0
5046,Around the Bend,85.0,2004,2004,1,Jordan Roberts,Jordan Roberts,,,Michael Caine,Christopher Walken,Josh Lucas,Drama,,,6.4
5047,Raise Your Voice,107.0,2004,2004,1,Sean McNamara,Mitch Rotter,Sam Schreiber,,Hilary Duff,John Corbett,Rebecca De Mornay,Family,Music,Musical,5.9
5048,Being Julia,104.0,2004,2004,1,István Szabó,W. Somerset Maugham,Ronald Harwood,,Annette Bening,Michael Gambon,Maury Chaykin,Comedy,Drama,Romance,7.0
5049,The Final Cut,95.0,2004,2004,1,Omar Naim,Omar Naim,,,Robin Williams,Jim Caviezel,Mira Sorvino,Drama,Sci-Fi,Thriller,6.2
5050,Shall We Dance?,106.0,2004,2004,1,Peter Chelsom,Masayuki Suô,Audrey Wells,,Richard Gere,Jennifer Lopez,Susan Sarandon,Comedy,Drama,Music,6.1
5051,Team America: World Police,98.0,2004,2004,1,Trey Parker,Trey Parker,Matt Stone,Pam Brady,Trey Parker,Matt Stone,Elle Russ,Action,Comedy,,7.2
5052,Sideways,127.0,2004,2004,1,Alexander Payne,Rex Pickett,Alexander Payne,Jim Taylor,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Comedy,Drama,Romance,7.5
5053,Surviving Christmas,91.0,2004,2004,1,Mike Mitchell,Deborah Kaplan,Harry Elfont,Jennifer Ventimilia,Ben Affleck,Christina Applegate,James Gandolfini,Comedy,Romance,,5.5
5054,Vera Drake,125.0,2004,2004,1,Mike Leigh,Mike Leigh,,,Imelda Staunton,Jim Broadbent,Heather Craney,Crime,Drama,,7.6
5055,Birth,100.0,2004,2004,1,Jonathan Glazer,Jean-Claude Carrière,Milo Addica,Jonathan Glazer,Nicole Kidman,Cameron Bright,Lauren Bacall,Drama,Fantasy,Mystery,6.2
5056,Saw,103.0,2004,2004,1,James Wan,Leigh Whannell,James Wan,,Cary Elwes,Leigh Whannell,Danny Glover,Horror,Mystery,Thriller,7.6
5057,Stage Beauty,106.0,2004,2004,1,Richard Eyre,Jeffrey Hatcher,,,Billy Crudup,Claire Danes,Rupert Everett,Drama,,,7.1
5058,The Incredibles,115.0,2004,2004,1,Brad Bird,Brad Bird,,,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Animation,Action,Adventure,8.0
5059,The Polar Express,100.0,2004,2004,1,Robert Zemeckis,Chris Van Allsburg,Robert Zemeckis,William Broyles Jr.,Tom Hanks,Chris Coppola,Michael Jeter,Animation,Adventure,Comedy,6.6
5060,After the Sunset,97.0,2004,2004,1,Brett Ratner,Paul Zbyszewski,Craig Rosenberg,,Pierce Brosnan,Salma Hayek,Woody Harrelson,Action,Comedy,Crime,6.3
5061,Finding Neverland,106.0,2004,2004,1,Marc Forster,Allan Knee,David Magee,,Johnny Depp,Kate Winslet,Julie Christie,Biography,Drama,Family,7.6
5062,Seed of Chucky,87.0,2004,2004,1,Don Mancini,Don Mancini,,,Jennifer Tilly,Brad Dourif,John Waters,Comedy,Horror,Thriller,4.8
5063,Bridget Jones: The Edge of Reason,108.0,2004,2004,0,Beeban Kidron,Helen Fielding,Andrew Davies,Richard Curtis,Renée Zellweger,Colin Firth,Hugh Grant,Comedy,Drama,Romance,6.0
5064,National Treasure,131.0,2004,2004,1,Jon Turteltaub,Jim Kouf,Cormac Wibberley,Marianne Wibberley,Nicolas Cage,Diane Kruger,Justin Bartha,Action,Adventure,Mystery,6.9
5065,The SpongeBob SquarePants Movie,87.0,2004,2004,1,Stephen Hillenburg,Derek Drymon,Tim Hill,Stephen Hillenburg,Tom Kenny,Jeffrey Tambor,Rodger Bumpass,Animation,Adventure,Comedy,7.1
