,name,year,idbm_year,director,writers,star,rating,genre
7007,Zenon: Z3,2004,,Steve Rash,"Marilyn Sadler,Roger Bollen,Stu Krieger","Kirsten Storms,Lauren Maltby,Alyson Morgan",5.5,"Adventure,Comedy,Family"
7008,Around the World in 80 Days,2004,,,,,6.3,"Adventure,Comedy"
7009,DodgeBall: A True Underdog Story,2004,2004,Rawson Marshall Thurber,Rawson Marshall Thurber,"Ben Stiller,Christine Taylor,Vince Vaughn",6.7,"Comedy,Sport"
7010,The Terminal,2004,2004,Steven Spielberg,"Andrew Niccol,Sacha Gervasi,Jeff Nathanson","Tom Hanks,Catherine Zeta-Jones,Chi McBride",7.4,"Comedy,Drama,Romance"
7011,White Chicks,2004,2004,Keenen Ivory Wayans,"Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans","Marlon Wayans,Shawn Wayans,Busy Philipps",5.7,"Comedy,Crime"
7012,Fahrenheit 9/11,2004,2004,Michael Moore,Michael Moore,"Michael Moore,George W. Bush,Ben Affleck",7.5,"Documentary,Drama,War"
7013,The Notebook,2004,2004,Nick Cassavetes,"Jeremy Leven,Jan Sardi,Nicholas Sparks","Gena Rowlands,James Garner,Rachel McAdams",7.8,"Drama,Romance"
7014,Two Brothers,2004,2004,Jean-Jacques Annaud,"Alain Godard,Jean-Jacques Annaud,Julian Fellowes","Guy Pearce,Freddie Highmore,Jean-Claude Dreyfus",7.0,"Adventure,Drama,Family"
7015,Spider-Man 2,2004,2004,Sam Raimi,"Stan Lee,Steve Ditko,Alfred Gough","Tobey Maguire,Kirsten Dunst,Alfred Molina",7.4,"Action,Adventure,Sci-Fi"
7016,Before Sunset,2004,2004,Richard Linklater,"Richard Linklater,Julie Delpy,Ethan Hawke","Ethan Hawke,Julie Delpy,Vernon Dobtcheff",8.1,"Drama,Romance"
7017,The Clearing,2004,2004,Pieter Jan Brugge,"Pieter Jan Brugge,Justin Haythe","Robert Redford,Willem Dafoe,Helen Mirren",5.8,"Drama,Mystery,Thriller"
7018,De-Lovely,2004,2004,Irwin Winkler,Jay Cocks,"Kevin Kline,Ashley Judd,Jonathan Pryce",6.6,"Biography,Drama,Music"
7019,King Arthur,2004,2017,Guy Ritchie,"Joby Harold,Guy Ritchie,Lionel Wigram","Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law",6.7,"Action,Adventure,Drama"
7020,Anchorman: The Legend of Ron Burgundy,2004,2004,Adam McKay,"Will Ferrell,Adam McKay","Will Ferrell,Christina Applegate,Steve Carell",7.2,Comedy
7021,Sleepover,2004,2004,Joe Nussbaum,Elisa Bell,"Alexa PenaVega,Mika Boorem,Scout Taylor-Compton",5.4,"Comedy,Family,Romance"
7022,The Door in the Floor,2004,2004,Tod Williams,"John Irving,Tod Williams","Jeff Bridges,Kim Basinger,Jon Foster",6.7,"Comedy,Drama"
7023,A Cinderella Story,2004,2004,Mark Rosman,Leigh Dunlap,"Hilary Duff,Chad Michael Murray,Jennifer Coolidge",5.9,"Comedy,Family,Romance"
7024,"I, Robot",2004,2004,Alex Proyas,"Jeff Vintar,Akiva Goldsman,Isaac Asimov","Will Smith,Bridget Moynahan,Bruce Greenwood",7.1,"Action,Mystery,Sci-Fi"
7025,Stuck in the Suburbs,2004,,Savage Steve Holland,"Wendy Engelberg,Amy Engelberg,Dan Berendsen","Danielle Panabaker,Brenda Song,Amanda Shaw",5.6,"Comedy,Family,Music"
7026,The Bourne Supremacy,2004,2004,Paul Greengrass,"Robert Ludlum,Tony Gilroy","Matt Damon,Franka Potente,Joan Allen",7.7,"Action,Mystery,Thriller"
7027,Catwoman,2004,,,,,,
7028,A Home at the End of the World,2004,2004,Michael Mayer,Michael Cunningham,"Colin Farrell,Dallas Roberts,Robin Wright",6.7,"Drama,Romance"
7029,Thunderbirds,2004,2004,Jonathan Frakes,"Gerry Anderson,Sylvia Anderson,Peter Hewitt","Bill Paxton,Anthony Edwards,Ben Kingsley",4.3,"Action,Adventure,Comedy"
7030,Garden State,2004,2004,Zach Braff,Zach Braff,"Zach Braff,Peter Sarsgaard,Natalie Portman",7.4,"Comedy,Drama,Romance"
7031,Harold & Kumar Go to White Castle,2004,2004,Danny Leiner,"Jon Hurwitz,Hayden Schlossberg","John Cho,Kal Penn,Ethan Embry",7.0,"Adventure,Comedy"
7032,She Hate Me,2004,2004,Spike Lee,"Michael Genet,Spike Lee","Anthony Mackie,Kerry Washington,Ellen Barkin",5.3,"Comedy,Drama"
7033,The Manchurian Candidate,2004,2004,Jonathan Demme,"Richard Condon,George Axelrod,Daniel Pyne","Denzel Washington,Liev Schreiber,Meryl Streep",6.6,"Drama,Mystery,Sci-Fi"
7034,The Village,2004,2004,M. Night Shyamalan,M. Night Shyamalan,"Sigourney Weaver,William Hurt,Joaquin Phoenix",6.5,"Drama,Mystery,Thriller"
7035,Collateral,2004,2004,Michael Mann,Stuart Beattie,"Tom Cruise,Jamie Foxx,Jada Pinkett Smith",7.5,"Action,Crime,Drama"
7036,Little Black Book,2004,2004,Nick Hurran,"Melissa Carter,Elisa Bell","Brittany Murphy,Ron Livingston,Holly Hunter",5.3,"Comedy,Drama,Romance"
7037,Open Water,2004,2003,Chris Kentis,Chris Kentis,"Blanchard Ryan,Daniel Travis,Saul Stein",5.7,"Adventure,Drama,Horror"
7038,Tiger Cruise,2004,,Duwayne Dunham,"Anna Sandor,Bruce Graham","Hayden Panettiere,Bill Pullman,Troy Evans",6.1,"Drama,Family"
7039,The Princess Diaries 2: Royal Engagement,2004,2004,Garry Marshall,"Meg Cabot,Gina Wendkos,Shonda Rhimes","Anne Hathaway,Callum Blue,Julie Andrews",5.9,"Comedy,Family,Romance"
7040,Alien vs. Predator,2004,2004,Paul W.S. Anderson,"Dan O'Bannon,Ronald Shusett,Jim Thomas","Sanaa Lathan,Lance Henriksen,Raoul Bova",5.6,"Action,Adventure,Horror"
7041,Yu-Gi-Oh! The Movie: Pyramid of Light,2004,,Valentin Fuentealba,Valentin Fuentealba,Valentin Fuentealba,,"Animation,Comedy,Family"
7042,"Mickey, Donald, Goofy: The Three Musketeers",2004,,Donovan Cook,"Evan Spiliotopoulos,David Mickey Evans,Alexandre Dumas","Wayne Allwine,Tony Anselmo,Bill Farmer",6.4,"Animation,Adventure,Comedy"
7043,Exorcist: The Beginning,2004,2004,Renny Harlin,"William Peter Blatty,William Wisher,Caleb Carr","Stellan Skarsgård,Izabella Scorupco,James D'Arcy",5.1,"Horror,Mystery,Thriller"
7044,Without a Paddle,2004,2004,Steven Brill,"Fred Wolf,Harris Goldberg,Tom Nursall","Matthew Lillard,Seth Green,Dax Shepard",5.9,"Adventure,Comedy,Mystery"
7045,Anacondas: The Hunt for the Blood Orchid,2004,2004,Dwight H. Little,"Hans Bauer,Jim Cash,Jack Epps Jr.","Morris Chestnut,KaDee Strickland,Eugene Byrd",4.7,"Action,Adventure,Horror"
7046,Superbabies: Baby Geniuses 2,2004,2004,Bob Clark,"Robert Grasmere,Francisca Matos,Steven Paul","Jon Voight,Scott Baio,Vanessa Angel",1.9,"Comedy,Family,Sci-Fi"
7047,Suspect Zero,2004,2004,E. Elias Merhige,"Zak Penn,Billy Ray","Aaron Eckhart,Ben Kingsley,Carrie-Anne Moss",5.8,"Crime,Horror,Mystery"
7048,5x2,2004,2004,François Ozon,"François Ozon,Emmanuèle Bernheim","Valeria Bruni Tedeschi,Stéphane Freiss,Françoise Fabian",6.6,"Drama,Romance"
7049,Vanity Fair,2004,,,,,7.3,Drama
7050,The Cookout,2004,2004,Lance Rivera,"Queen Latifah,Shakim Compere,Darryl French","Quran Pender,Jenifer Lewis,Ja Rule",3.8,Comedy
7051,Paparazzi,2004,2004,Paul Abascal,Forry Smith,"Cole Hauser,Robin Tunney,Dennis Farina",5.7,"Action,Crime,Drama"
7052,Warriors of Heaven and Earth,2004,2003,Ping He,"Richard Epcar,Ping He,Rui Zhang","Wen Jiang,Kiichi Nakai,Xueqi Wang",6.3,"Action,Adventure,Drama"
7053,Wicker Park,2004,2004,Paul McGuigan,"Gilles Mimouni,Brandon Boyce","Josh Hartnett,Diane Kruger,Matthew Lillard",7.0,"Drama,Mystery,Romance"
7054,Cellular,2004,2004,David R. Ellis,"Larry Cohen,Chris Morgan","Kim Basinger,Chris Evans,Jason Statham",6.5,"Action,Crime,Thriller"
7055,Criminal,2004,2016,Ariel Vromen,"Douglas Cook,David Weisberg","Kevin Costner,Ryan Reynolds,Gal Gadot",6.3,"Action,Sci-Fi,Thriller"
7056,Resident Evil: Apocalypse,2004,2004,Alexander Witt,Paul W.S. Anderson,"Milla Jovovich,Sienna Guillory,Eric Mabius",6.2,"Action,Horror,Sci-Fi"
7057,Saving Face,2004,2004,Alice Wu,Alice Wu,"Joan Chen,Michelle Krusiec,Lynn Chen",7.4,"Comedy,Drama,Romance"
7058,Funky Monkey,2004,2004,"Harry Basil,Gene Quintano","Lance Kinsey,Peter Nelson,Byron Jelden","Seth Adkins,Matthew Modine,Roma Downey",3.7,"Comedy,Family"
7059,Mr. 3000,2004,2004,Charles Stone III,"Eric Champnella,Keith Mitchell,Howard Michael Gould","Bernie Mac,Angela Bassett,Michael Rispoli",5.6,"Comedy,Drama,Romance"
7060,Sky Captain and the World of Tomorrow,2004,2004,Kerry Conran,Kerry Conran,"Gwyneth Paltrow,Jude Law,Angelina Jolie",6.0,"Action,Adventure,Mystery"
7061,Wimbledon,2004,2004,Richard Loncraine,"Adam Brooks,Jennifer Flackett,Mark Levin","Kirsten Dunst,Paul Bettany,Jon Favreau",6.3,"Comedy,Romance,Sport"
7062,Georges Bataille's Story of the Eye,2004,2003,Andrew Repasky McElhinney,"Georges Bataille,Dan Buskirk,Edward J. Eberwine III","Melissa Elizabeth Forgione,Querelle Haynes,Kevin Mitchell Martin",3.3,Drama
7063,First Daughter,2004,2004,Andy Cadiff,"Derek Guiley,David Schneiderman","Mandy Moore,Matthew Goode,Mark Harmon",6.1,"Comedy,Romance"
7064,The Forgotten,2004,,,,,8.3,"Crime,Drama,Mystery"
7065,The Last Shot,2004,1985,Carlo Vanzina,"Marco Parma,Enrico Vanzina,Carlo Vanzina","Tom Schanley,Renée Simonsen,Nicola Perring",5.7,"Mystery,Thriller"
7066,I Heart Huckabees,2004,2004,David O. Russell,"David O. Russell,Jeff Baena","Jason Schwartzman,Jude Law,Naomi Watts",6.6,Comedy
7067,Ladder 49,2004,2004,Jay Russell,Lewis Colick,"Joaquin Phoenix,John Travolta,Jacinda Barrett",6.5,"Action,Drama,Thriller"
7068,Shark Tale,2004,2004,"Bibo Bergeron,Vicky Jenson,Rob Letterman","Michael J. Wilson,Rob Letterman,Scott Aukerman","Will Smith,Robert De Niro,Renée Zellweger",6.0,"Animation,Adventure,Comedy"
7069,Bride and Prejudice,2004,,,,,,Documentary
7070,Taxi,2004,,,,,7.7,Comedy
7071,Around the Bend,2004,2004,Jordan Roberts,Jordan Roberts,"Michael Caine,Christopher Walken,Josh Lucas",6.4,Drama
7072,Friday Night Lights,2004,,,,,8.6,"Drama,Sport"
7073,Halloweentown High,2004,,Mark A.Z. Dippé,"Paul Bernbaum,Dan Berendsen","Kimberly J. Brown,Debbie Reynolds,Judith Hoag",6.2,"Comedy,Family,Fantasy"
7074,Raise Your Voice,2004,2004,Sean McNamara,"Mitch Rotter,Sam Schreiber","Hilary Duff,John Corbett,Rebecca De Mornay",5.9,"Family,Music,Musical"
7075,Being Julia,2004,2004,István Szabó,"W. Somerset Maugham,Ronald Harwood","Annette Bening,Michael Gambon,Maury Chaykin",7.0,"Comedy,Drama,Romance"
7076,The Final Cut,2004,2004,Omar Naim,Omar Naim,"Robin Williams,Jim Caviezel,Mira Sorvino",6.2,"Drama,Sci-Fi,Thriller"
7077,Shall We Dance?,2004,2004,Peter Chelsom,"Masayuki Suô,Audrey Wells","Richard Gere,Jennifer Lopez,Susan Sarandon",6.1,"Comedy,Drama,Music"
7078,Team America: World Police,2004,2004,Trey Parker,"Trey Parker,Matt Stone,Pam Brady","Trey Parker,Matt Stone,Elle Russ",7.2,"Action,Comedy"
7079,The Grudge,2004,2020,Nicolas Pesce,"Nicolas Pesce,Jeff Buhler,Takashi Shimizu","Tara Westwood,Junko Bailey,David Lawrence Brown",4.3,"Fantasy,Horror"
7080,Sideways,2004,2004,Alexander Payne,"Rex Pickett,Alexander Payne,Jim Taylor","Paul Giamatti,Thomas Haden Church,Virginia Madsen",7.5,"Comedy,Drama,Romance"
7081,Surviving Christmas,2004,2004,Mike Mitchell,"Deborah Kaplan,Harry Elfont,Jennifer Ventimilia","Ben Affleck,Christina Applegate,James Gandolfini",5.5,"Comedy,Romance"
7082,Vera Drake,2004,2004,Mike Leigh,Mike Leigh,"Imelda Staunton,Jim Broadbent,Heather Craney",7.6,"Crime,Drama"
7083,Birth,2004,2004,Jonathan Glazer,"Jean-Claude Carrière,Milo Addica,Jonathan Glazer","Nicole Kidman,Cameron Bright,Lauren Bacall",6.2,"Drama,Fantasy,Mystery"
7084,Ray,2004,,,,,,
7085,Saw,2004,2004,James Wan,"Leigh Whannell,James Wan","Cary Elwes,Leigh Whannell,Danny Glover",7.6,"Horror,Mystery,Thriller"
7086,Stage Beauty,2004,2004,Richard Eyre,Jeffrey Hatcher,"Billy Crudup,Claire Danes,Rupert Everett",7.1,Drama
7087,Alfie,2004,,,,,,
7088,Fade to Black,2004,1980,Vernon Zimmerman,Vernon Zimmerman,"Dennis Christopher,Tim Thomerson,Gwynne Gilford",6.0,"Comedy,Crime,Horror"
7089,The Incredibles,2004,2004,Brad Bird,Brad Bird,"Craig T. Nelson,Samuel L. Jackson,Holly Hunter",8.0,"Animation,Action,Adventure"
7090,Mickey's Twice Upon a Christmas,2004,,"Theresa Cullen,Carole Holliday,Peggy Holmes","Bill Motz,Bob Roth,Peggy Holmes","Wayne Allwine,Tony Anselmo,Jeff Bennett",6.6,"Animation,Comedy,Family"
7091,The Polar Express,2004,2004,Robert Zemeckis,"Chris Van Allsburg,Robert Zemeckis,William Broyles Jr.","Tom Hanks,Chris Coppola,Michael Jeter",6.6,"Animation,Adventure,Comedy"
7092,After the Sunset,2004,2004,Brett Ratner,"Paul Zbyszewski,Craig Rosenberg","Pierce Brosnan,Salma Hayek,Woody Harrelson",6.3,"Action,Comedy,Crime"
7093,Finding Neverland,2004,2004,Marc Forster,"Allan Knee,David Magee","Johnny Depp,Kate Winslet,Julie Christie",7.6,"Biography,Drama,Family"
7094,Seed of Chucky,2004,2004,Don Mancini,Don Mancini,"Jennifer Tilly,Brad Dourif,John Waters",4.8,"Comedy,Horror,Thriller"
7095,Kangaroo Jack: G'Day U.S.A.!,2004,,Ron Myrick,"Adam Scheinman,Andrew Scheinman","Ahmed Best,Josh Keaton,Jeff Bennett",4.1,"Animation,Action,Adventure"
7096,Bridget Jones: The Edge of Reason,2004,2004,Beeban Kidron,"Helen Fielding,Andrew Davies,Richard Curtis","Renée Zellweger,Colin Firth,Hugh Grant",6.0,"Comedy,Drama,Romance"
7097,National Treasure,2004,2004,Jon Turteltaub,"Jim Kouf,Cormac Wibberley,Marianne Wibberley","Nicolas Cage,Diane Kruger,Justin Bartha",6.9,"Action,Adventure,Mystery"
7098,The SpongeBob SquarePants Movie,2004,2004,"Stephen Hillenburg,Mark Osborne","Derek Drymon,Tim Hill,Stephen Hillenburg","Tom Kenny,Jeffrey Tambor,Rodger Bumpass",7.1,"Animation,Adventure,Comedy"
7099,Alexander,2004,2004,Oliver Stone,"Oliver Stone,Christopher Kyle,Laeta Kalogridis","Colin Farrell,Anthony Hopkins,Rosario Dawson",5.6,"Action,Biography,Drama"
7100,Christmas with the Kranks,2004,2004,Joe Roth,"John Grisham,Chris Columbus","Tim Allen,Jamie Lee Curtis,Dan Aykroyd",5.4,"Comedy,Family"
7101,A Christmas Carol: The Musical,2004,,Arthur Allan Seidelman,"Charles Dickens,Mike Ockrent,Lynn Ahrens","Kelsey Grammer,Jesse L. Martin,Jane Krakowski",6.2,"Drama,Fantasy,Musical"
7102,Closer,2004,2004,Mike Nichols,Patrick Marber,"Natalie Portman,Jude Law,Clive Owen",7.2,"Drama,Romance"
7103,House of Flying Daggers,2004,2004,Yimou Zhang,"Feng Li,Bin Wang,Yimou Zhang","Ziyi Zhang,Takeshi Kaneshiro,Andy Lau",7.5,"Action,Adventure,Drama"
7104,The Life and Death of Peter Sellers,2004,2004,Stephen Hopkins,"Roger Lewis,Christopher Markus,Stephen McFeely","Geoffrey Rush,Charlize Theron,Emily Watson",6.9,"Biography,Comedy,Drama"
7105,Blade: Trinity,2004,2004,David S. Goyer,"David S. Goyer,Marv Wolfman,Gene Colan","Wesley Snipes,Kris Kristofferson,Parker Posey",5.8,"Action,Horror,Sci-Fi"
7106,Ocean's Twelve,2004,2004,Steven Soderbergh,"George Nolfi,George Clayton Johnson,Jack Golden Russell","George Clooney,Brad Pitt,Julia Roberts",6.5,"Crime,Thriller"
7107,Million Dollar Baby,2004,2004,Clint Eastwood,"Paul Haggis,F.X. Toole","Hilary Swank,Clint Eastwood,Morgan Freeman",8.1,"Drama,Sport"
7108,Beyond the Sea,2004,2004,Kevin Spacey,"Kevin Spacey,Lewis Colick","Kevin Spacey,Kate Bosworth,John Goodman",6.7,"Biography,Drama,Music"
7109,Flight of the Phoenix,2004,2004,John Moore,"Lukas Heller,Scott Frank,Edward Burns","Dennis Quaid,Miranda Otto,Giovanni Ribisi",6.1,"Action,Adventure,Drama"
7110,Lemony Snicket's A Series of Unfortunate Events,2004,2004,Brad Silberling,"Robert Gordon,Daniel Handler","Jim Carrey,Jude Law,Meryl Streep",6.8,"Adventure,Comedy,Family"
7111,Spanglish,2004,2004,James L. Brooks,James L. Brooks,"Adam Sandler,Téa Leoni,Paz Vega",6.4,"Comedy,Drama,Romance"
7112,Hotel Rwanda,2004,2004,Terry George,"Keir Pearson,Terry George","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",8.1,"Biography,Drama,History"
7113,Meet the Fockers,2004,2004,Jay Roach,"Greg Glienna,Mary Ruth Clarke,Jim Herzfeld","Ben Stiller,Robert De Niro,Blythe Danner",6.3,"Comedy,Romance"
7114,The Aviator,2004,2004,Martin Scorsese,John Logan,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale",7.5,"Biography,Drama"
7115,Darkness,2004,2002,Jaume Balagueró,"Jaume Balagueró,Fernando de Felipe,Miguel Tejada-Flores","Anna Paquin,Lena Olin,Iain Glen",5.4,Horror
7116,Fat Albert,2004,2004,Joel Zwick,"Bill Cosby,Charles Kipps","Kenan Thompson,Kyla Pratt,Omarion",4.4,"Comedy,Family,Fantasy"
7117,The Life Aquatic with Steve Zissou,2004,2004,Wes Anderson,"Wes Anderson,Noah Baumbach","Bill Murray,Owen Wilson,Anjelica Huston",7.3,"Action,Adventure,Comedy"
7118,In Good Company,2004,2004,Paul Weitz,Paul Weitz,"Dennis Quaid,Topher Grace,Scarlett Johansson",6.4,"Comedy,Drama,Romance"
7119,A Love Song for Bobby Long,2004,2004,Shainee Gabel,"Ronald Everett Capps,Shainee Gabel","Scarlett Johansson,John Travolta,Gabriel Macht",7.1,Drama
7120,Star Wars: Episode III – Revenge of the Sith,2005,2005,George Lucas,"George Lucas,John Ostrander,Jan Duursema","Hayden Christensen,Natalie Portman,Ewan McGregor",7.5,"Action,Adventure,Fantasy"
7121,Harry Potter and the Goblet of Fire,2005,2005,Mike Newell,"Steve Kloves,J.K. Rowling","Daniel Radcliffe,Emma Watson,Rupert Grint",7.7,"Adventure,Family,Fantasy"
7122,War of the Worlds,2005,,,,,6.4,"Drama,Mystery,Sci-Fi"
7123,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2005,Andrew Adamson,"Ann Peacock,Andrew Adamson,Christopher Markus","Tilda Swinton,Georgie Henley,William Moseley",6.9,"Adventure,Family,Fantasy"
7124,Charlie and the Chocolate Factory,2005,1971,Mel Stuart,"Roald Dahl,David Seltzer","Gene Wilder,Jack Albertson,Peter Ostrum",7.8,"Family,Fantasy,Musical"
7125,Batman Begins,2005,2005,Christopher Nolan,"Bob Kane,David S. Goyer,Christopher Nolan","Christian Bale,Michael Caine,Ken Watanabe",8.2,"Action,Crime,Drama"
7126,Madagascar,2005,2005,"Eric Darnell,Tom McGrath","Mark Burton,Billy Frolick,Eric Darnell","Chris Rock,Ben Stiller,David Schwimmer",6.9,"Animation,Adventure,Comedy"
7127,Mr. & Mrs. Smith,2005,2005,Doug Liman,Simon Kinberg,"Brad Pitt,Angelina Jolie,Adam Brody",6.5,"Action,Comedy,Crime"
7128,Hitch,2005,,,,,,
7129,King Kong,2005,2005,Peter Jackson,"Fran Walsh,Philippa Boyens,Peter Jackson","Naomi Watts,Jack Black,Adrien Brody",7.2,"Action,Adventure,Drama"
7130,White Noise,2005,2022,Noah Baumbach,"Noah Baumbach,Don DeLillo","Adam Driver,Raffey Cassidy,Don Cheadle",,"Drama,Mystery"
7131,Coach Carter,2005,2005,Thomas Carter,"Mark Schwahn,John Gatins","Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard",7.3,"Biography,Drama,Sport"
7132,Elektra,2005,2005,Rob Bowman,"Mark Steven Johnson,Frank Miller,Zak Penn","Jennifer Garner,Goran Visnjic,Will Yun Lee",4.7,"Action,Adventure,Crime"
7133,Now You See It...,2005,,Duwayne Dunham,Bill Fritz,"Aly Michalka,Johnny Pacar,Frank Langella",6.2,"Drama,Family,Fantasy"
7134,Racing Stripes,2005,2005,Frederik Du Chau,"David Schmidt,Steven P. Wegner,Kirk DeMicco","Frankie Muniz,David Spade,Snoop Dogg",5.2,"Adventure,Comedy,Drama"
7135,Tom and Jerry: Blast Off to Mars,2005,,Bill Kopp,"Bill Kopp,Joseph Barbera,William Hanna","Jeff Bennett,Corey Burton,Kathryn Fiore",6.2,"Animation,Action,Adventure"
7136,Assault on Precinct 13,2005,1976,John Carpenter,John Carpenter,"Austin Stoker,Darwin Joston,Laurie Zimmer",7.4,"Action,Crime,Thriller"
7137,Are We There Yet?,2005,2005,Brian Levant,"Steven Gary Banks,Claudia Grazioso,J. David Stem","Ice Cube,Nia Long,Aleisha Allen",4.7,"Adventure,Comedy,Family"
7138,The Phantom of the Opera,2005,2004,Joel Schumacher,"Gaston Leroux,Andrew Lloyd Webber,Joel Schumacher","Gerard Butler,Emmy Rossum,Patrick Wilson",7.2,"Drama,Musical,Romance"
7139,Alone in the Dark,2005,1982,Jack Sholder,"Jack Sholder,Robert Shaye,Michael Harrpster","Jack Palance,Donald Pleasence,Martin Landau",6.1,"Horror,Thriller"
7140,Hide and Seek,2005,2021,Joel David Moore,"Jung Huh,Joel David Moore","Joe Pantoliano,Jonathan Rhys Meyers,Jacinda Barrett",4.1,"Horror,Thriller"
7141,Mulan II,2005,,"Darrell Rooney,Lynne Southerland","Michael Lucker,Chris Parker,Roger S.H. Schulman","Ming-Na Wen,BD Wong,Mark Moseley",5.7,"Animation,Adventure,Comedy"
7142,Boogeyman,2005,1981,Rick Rosenthal,"John Carpenter,Debra Hill","Jamie Lee Curtis,Donald Pleasence,Charles Cyphers",6.5,Horror
7143,The Wedding Date,2005,2005,Clare Kilner,"Elizabeth Young,Dana Fox","Dermot Mulroney,Debra Messing,Jack Davenport",6.2,"Comedy,Romance"
7144,"Aloha, Scooby-Doo!",2005,,Tim Maltby,Temple Mathews,"Casey Kasem,Frank Welker,Mindy Cohn",6.4,"Animation,Adventure,Comedy"
7145,Hitch,2005,,,,,,
7146,Pooh's Heffalump Movie,2005,2005,Frank Nissen,"Brian Hohlfeld,Evan Spiliotopoulos,A.A. Milne","Jim Cummings,Brenda Blethyn,Kyle Stanger",6.4,"Animation,Adventure,Comedy"
7147,Lackawanna Blues,2005,,George C. Wolfe,Ruben Santiago-Hudson,"S. Epatha Merkerson,Marcus Carl Franklin,Yasiin Bey",7.8,"Drama,Music"
7148,Because of Winn-Dixie,2005,2005,Wayne Wang,"Kate DiCamillo,Joan Singleton","AnnaSophia Robb,Jeff Daniels,Eva Marie Saint",6.4,"Comedy,Drama,Family"
7149,Constantine,2005,2005,Francis Lawrence,"Jamie Delano,Garth Ennis,Kevin Brodbin","Keanu Reeves,Rachel Weisz,Djimon Hounsou",7.0,"Action,Fantasy,Horror"
7150,Son of the Mask,2005,2005,Lawrence Guterman,Lance Khazei,"Jamie Kennedy,Traylor Howard,Alan Cumming",2.2,"Comedy,Family,Fantasy"
7151,Cursed,2005,,,,,5.9,"Adventure,Drama,Fantasy"
7152,Diary of a Mad Black Woman,2005,2005,Darren Grant,Tyler Perry,"Kimberly Elise,Steve Harris,Tyler Perry",5.8,"Comedy,Drama,Romance"
7153,Man of the House,2005,1995,James Orr,"David E. Peckinpah,Richard Jefferies,James Orr","Chevy Chase,Farrah Fawcett,Jonathan Taylor Thomas",5.3,"Comedy,Family"
7154,Be Cool,2005,2005,F. Gary Gray,"Elmore Leonard,Peter Steinfeld","John Travolta,Uma Thurman,Dwayne Johnson",5.6,"Comedy,Crime,Music"
7155,The Jacket,2005,2005,John Maybury,"Tom Bleecker,Marc Rocco,Massy Tadjedin","Adrien Brody,Keira Knightley,Daniel Craig",7.1,"Drama,Fantasy,Mystery"
7156,The Pacifier,2005,2005,Adam Shankman,"Thomas Lennon,Robert Ben Garant","Vin Diesel,Brittany Snow,Max Thieriot",5.6,"Action,Comedy,Drama"
7157,Oprah Winfrey Presents Their Eyes Were Watching God,2005,,Darnell Martin,"Zora Neale Hurston,Suzan-Lori Parks,Misan Sagay","Halle Berry,Ruben Santiago-Hudson,Mel Winkler",6.5,"Drama,Romance"
7158,Buffalo Dreams,2005,,David Jackson,Marjorie Schwartz Nielsen,"Reiley McClendon,Simon Baker,George Newbern",5.8,Family
7159,Hostage,2005,2005,Florent-Emilio Siri,"Robert Crais,Doug Richardson","Bruce Willis,Kevin Pollak,Serena Scott Thomas",6.5,"Action,Crime,Drama"
7160,Robots,2005,2005,"Chris Wedge,Carlos Saldanha","Ron Mita,Jim McClain,David Lindsay-Abaire","Ewan McGregor,Halle Berry,Mel Brooks",6.4,"Animation,Adventure,Comedy"
7161,Ice Princess,2005,2005,Tim Fywell,"Meg Cabot,Hadley Davis","Michelle Trachtenberg,Kim Cattrall,Trevor Blumas",6.0,"Comedy,Drama,Family"
7162,The Ring Two,2005,2005,Hideo Nakata,"Ehren Kruger,Kôji Suzuki,Hiroshi Takahashi","Naomi Watts,David Dorfman,Sissy Spacek",5.4,"Horror,Mystery"
7163,Miss Congeniality 2: Armed and Fabulous,2005,,,,,,Talk-Show
7164,D.E.B.S.,2005,2004,Angela Robinson,Angela Robinson,"Sara Foster,Jordana Brewster,Devon Aoki",5.4,"Action,Comedy,Romance"
7165,Guess Who,2005,2005,Kevin Rodney Sullivan,"William Rose,David Ronn,Jay Scherick","Ashton Kutcher,Bernie Mac,Zoe Saldana",5.9,"Comedy,Romance"
7166,Valiant,2005,2005,Gary Chapman,"George Webster,Jordan Katz,George Melrod","Ewan McGregor,Ricky Gervais,Tim Curry",5.5,"Animation,Adventure,Comedy"
7167,The Ballad of Jack and Rose,2005,2005,Rebecca Miller,Rebecca Miller,"Daniel Day-Lewis,Catherine Keener,Camilla Belle",6.6,Drama
7168,Beauty Shop,2005,2005,Bille Woodruff,"Elizabeth Hunter,Kate Lanier,Norman Vance Jr.","Queen Latifah,Alicia Silverstone,Djimon Hounsou",5.6,Comedy
7169,Sin City,2005,2005,"Frank Miller,Quentin Tarantino,Robert Rodriguez","Frank Miller,Robert Rodriguez","Mickey Rourke,Clive Owen,Bruce Willis",8.0,"Crime,Thriller"
7170,The Upside of Anger,2005,2005,Mike Binder,Mike Binder,"Joan Allen,Kevin Costner,Erika Christensen",6.8,"Comedy,Drama"
