,name,year,idbm_year,length,director,writers,star,rating,genre
8998,A Very Harold & Kumar 3D Christmas,2011,2011,1h 30m,Todd Strauss-Schulson,"Jon Hurwitz,Hayden Schlossberg","Kal Penn,John Cho,Neil Patrick Harris",6.3,"Adventure,Comedy"
8999,Haywire,2011,2011,1h 33m,Steven Soderbergh,Lem Dobbs,"Gina Carano,Ewan McGregor,Michael Fassbender",5.8,"Action,Drama,Thriller"
9000,Arthur Christmas,2011,2011,1h 37m,"Sarah Smith,Barry Cook","Peter Baynham,Sarah Smith","James McAvoy,Jim Broadbent,Bill Nighy",7.1,"Animation,Adventure,Comedy"
9001,Immortals,2011,2011,1h 50m,Tarsem Singh,"Charley Parlapanides,Vlas Parlapanides","Henry Cavill,Mickey Rourke,John Hurt",6.0,"Action,Drama,Fantasy"
9002,Jack and Jill,2011,2011,1h 31m,Dennis Dugan,"Ben Zook,Steve Koren,Adam Sandler","Adam Sandler,Katie Holmes,Al Pacino",3.3,Comedy
9003,Happy Feet Two,2011,2011,1h 57m,"George Miller,Gary Eck,David Peers","George Miller,Gary Eck,Warren Coleman","Elijah Wood,Robin Williams,Pink",5.9,"Animation,Adventure,Comedy"
9004,The Best Exotic Marigold Hotel,2011,2011,2h 4m,John Madden,"Ol Parker,Deborah Moggach","Judi Dench,Bill Nighy,Maggie Smith",7.3,"Comedy,Drama,Romance"
9005,Mission: Impossible – Ghost Protocol,2011,2011,2h 12m,Brad Bird,"Bruce Geller,Josh Appelbaum,André Nemec","Tom Cruise,Jeremy Renner,Simon Pegg",7.4,"Action,Adventure,Thriller"
9006,New Year's Eve,2011,2011,1h 58m,Garry Marshall,Katherine Fugate,"Sarah Jessica Parker,Jessica Biel,Ashton Kutcher",5.7,"Comedy,Romance"
9007,The Sitter,2011,2011,1h 21m,David Gordon Green,"Brian Gatewood,Alessandro Tanaka","Jonah Hill,Ari Graynor,Sam Rockwell",5.7,Comedy
9008,Young Adult,2011,2011,1h 34m,Jason Reitman,Diablo Cody,"Charlize Theron,Patrick Wilson,Patton Oswalt",6.3,"Comedy,Drama"
9009,The Grey,2011,2011,1h 57m,Joe Carnahan,"Joe Carnahan,Ian Mackenzie Jeffers","Liam Neeson,Dermot Mulroney,Frank Grillo",6.8,"Action,Adventure,Drama"
9010,The Girl with the Dragon Tattoo,2011,2011,2h 38m,David Fincher,"Steven Zaillian,Stieg Larsson","Daniel Craig,Rooney Mara,Christopher Plummer",7.8,"Crime,Drama,Mystery"
9011,Alvin and the Chipmunks: Chipwrecked,2011,2011,1h 27m,Mike Mitchell,"Jonathan Aibel,Glenn Berger,Ross Bagdasarian","Justin Long,Matthew Gray Gubler,Jesse McCartney",4.4,"Animation,Adventure,Comedy"
9012,Sherlock Holmes: A Game of Shadows,2011,2011,2h 9m,Guy Ritchie,"Michele Mulroney,Kieran Mulroney,Arthur Conan Doyle","Robert Downey Jr.,Jude Law,Jared Harris",7.5,"Action,Adventure,Mystery"
9013,The Darkest Hour,2011,2011,1h 29m,Chris Gorak,"Jon Spaihts,Leslie Bohem,M.T. Ahern","Emile Hirsch,Olivia Thirlby,Max Minghella",4.9,"Action,Adventure,Horror"
9014,In the Land of Blood and Honey,2011,2011,2h 7m,Angelina Jolie,Angelina Jolie,"Zana Marjanovic,Goran Kostic,Rade Serbedzija",4.5,"Drama,Romance,War"
9015,We Bought a Zoo,2011,2011,2h 4m,Cameron Crowe,"Aline Brosh McKenna,Cameron Crowe,Benjamin Mee","Matt Damon,Scarlett Johansson,Thomas Haden Church",7.1,"Comedy,Drama,Family"
9016,Extremely Loud and Incredibly Close,2011,2011,2h 9m,Stephen Daldry,"Eric Roth,Jonathan Safran Foer","Thomas Horn,Tom Hanks,Sandra Bullock",6.9,"Adventure,Drama,Mystery"
9017,War Horse,2011,2011,2h 26m,Steven Spielberg,"Lee Hall,Richard Curtis,Michael Morpurgo","Jeremy Irvine,Emily Watson,David Thewlis",7.2,"Action,Adventure,Drama"
9018,The Iron Lady,2011,2011,1h 45m,Phyllida Lloyd,Abi Morgan,"Meryl Streep,Jim Broadbent,Richard E. Grant",6.4,"Biography,Drama"
9019,The Devil Inside,2012,2012,1h 23m,William Brent Bell,"William Brent Bell,Matthew Peterman","Fernanda Andrade,Simon Quarterman,Evan Helmuth",4.2,Horror
9020,Beneath the Darkness,2012,1980,1h 20m,"Barbara Peeters,Jimmy T. Murakami","Frank Arnold,Martin B. Cohen,William Martin","Doug McClure,Ann Turkel,Vic Morrow",5.7,"Horror,Sci-Fi"
9021,Norwegian Wood,2012,2010,2h 13m,Anh Hung Tran,"Haruki Murakami,Anh Hung Tran","Ken'ichi Matsuyama,Rinko Kikuchi,Kiko Mizuhara",6.3,"Drama,Romance"
9022,Contraband,2012,2012,1h 49m,Baltasar Kormákur,"Aaron Guzikowski,Arnaldur Indriðason,Óskar Jónasson","Mark Wahlberg,Giovanni Ribisi,Kate Beckinsale",6.4,"Action,Crime,Drama"
9023,Joyful Noise,2012,2012,1h 58m,Todd Graff,"Todd Graff,Max Myers","Queen Latifah,Dolly Parton,Keke Palmer",5.8,"Comedy,Drama,Music"
9024,Beauty and the Beast 3D,2012,1991,1h 24m,"Gary Trousdale,Kirk Wise","Linda Woolverton,Brenda Chapman,Chris Sanders","Paige O'Hara,Robby Benson,Jesse Corti",8.0,"Animation,Family,Fantasy"
9025,Albatross,2012,2011,1h 30m,Niall MacCormick,Tamzin Rafn,"Felicity Jones,Jessica Brown Findlay,Sebastian Koch",6.4,Drama
9026,The Divide,2012,2011,1h 52m,Xavier Gens,"Karl Mueller,Eron Sheean","Lauren German,Michael Biehn,Milo Ventimiglia",5.8,"Drama,Horror,Sci-Fi"
9027,Don't Go in the Woods,2012,1981,1h 22m,James Bryan,Garth Eliassen,"Nick Cleland,Mary Gail Artz,James P. Hayden",3.8,"Horror,Thriller"
9028,Sing Your Song,2012,2011,1h 43m,Susanne Rostock,Susanne Rostock,"Harry Belafonte,Sidney Poitier,Marge Champion",7.5,"Documentary,Biography,Music"
9029,Haywire,2012,2011,1h 33m,Steven Soderbergh,Lem Dobbs,"Gina Carano,Ewan McGregor,Michael Fassbender",5.8,"Action,Drama,Thriller"
9030,Red Tails,2012,2012,2h 5m,Anthony Hemingway,"John Ridley,Aaron McGruder,John B. Holway","Cuba Gooding Jr.,Gerald McRaney,David Oyelowo",5.9,"Action,Drama,History"
9031,Underworld: Awakening,2012,2012,1h 28m,"Måns Mårlind,Björn Stein","Len Wiseman,John Hlavin,J. Michael Straczynski","Kate Beckinsale,Michael Ealy,India Eisley",6.3,"Action,Fantasy,Horror"
9032,Coriolanus,2012,2011,2h 3m,Ralph Fiennes,"John Logan,William Shakespeare","Ralph Fiennes,Gerard Butler,Brian Cox",6.1,"Drama,Thriller,War"
9033,The Flowers of War,2012,2011,2h 26m,Yimou Zhang,"Heng Liu,Geling Yan","Christian Bale,Ni Ni,Xinyi Zhang",7.6,"Drama,History,Romance"
9034,Fullmetal Alchemist: The Sacred Star of Milos,2012,2011,1h 50m,Kazuya Murata,"Hiromu Arakawa,Yûichi Shinpo,John Burgmeier","Vic Mignogna,Maxey Whitehead,Alexis Tipton",7.0,"Animation,Action,Adventure"
9035,W.E.,2012,2011,1h 59m,Madonna,"Madonna,Alek Keshishian","Abbie Cornish,James D'Arcy,Andrea Riseborough",6.3,"Drama,History,Romance"
9036,The Grey,2012,2011,1h 57m,Joe Carnahan,"Joe Carnahan,Ian Mackenzie Jeffers","Liam Neeson,Dermot Mulroney,Frank Grillo",6.8,"Action,Adventure,Drama"
9037,Man on a Ledge,2012,2012,1h 42m,Asger Leth,Pablo F. Fenjves,"Sam Worthington,Elizabeth Banks,Jamie Bell",6.6,"Action,Crime,Thriller"
9038,One for the Money,2012,2012,1h 31m,Julie Anne Robinson,"Stacy Sherman,Karen Ray,Liz Brixius","Katherine Heigl,Jason O'Mara,Daniel Sunjata",5.3,"Action,Comedy,Crime"
9039,Amador,2012,2018,1h 36m,Ryan Koo,Ryan Koo,"Michael Rainey Jr.,Tekola Cornetet,Hanna Longo",5.9,"Drama,Sport"
9040,Declaration of War,2012,2011,1h 40m,Valérie Donzelli,"Valérie Donzelli,Jérémie Elkaïm","Valérie Donzelli,Jérémie Elkaïm,César Desseix",7.0,Drama
