,name,year,idbm_year,length,director,writers,star,rating,genre
9057,Good Deeds,2012,2012,2h 9m,Tyler Perry,Tyler Perry,"Tyler Perry,Gabrielle Union,Thandiwe Newton",5.6,"Comedy,Drama,Romance"
9058,Wanderlust,2012,2012,1h 38m,David Wain,"David Wain,Ken Marino","Jennifer Aniston,Paul Rudd,Malin Akerman",5.6,"Comedy,Romance"
9059,This Is Not a Film,2012,2011,1h 15m,"Mojtaba Mirtahmasb,Jafar Panahi",Jafar Panahi,"Jafar Panahi,Igi,Mrs. Gheirat",7.4,Documentary
9060,Dr. Seuss' The Lorax,2012,2012,1h 26m,"Chris Renaud,Kyle Balda","Dr. Seuss,Cinco Paul,Ken Daurio","Zac Efron,Taylor Swift,Danny DeVito",6.4,"Animation,Adventure,Comedy"
9061,Project X,2012,2012,1h 28m,Nima Nourizadeh,"Matt Drake,Michael Bacall","Thomas Mann,Oliver Cooper,Jonathan Daniel Brown",6.7,Comedy
9062,Being Flynn,2012,2012,1h 42m,Paul Weitz,"Paul Weitz,Nick Flynn","Paul Dano,Robert De Niro,Julianne Moore",6.4,Drama
9063,Tim and Eric's Billion Dollar Movie,2012,2012,1h 33m,"Tim Heidecker,Eric Wareheim","Tim Heidecker,Eric Wareheim,Jonathan Krisel","Tim Heidecker,Eric Wareheim,Robert Loggia",5.4,Comedy
9064,John Carter,2012,2012,2h 12m,Andrew Stanton,"Andrew Stanton,Mark Andrews,Michael Chabon","Taylor Kitsch,Lynn Collins,Willem Dafoe",6.6,"Action,Adventure,Sci-Fi"
9065,Silent House,2012,2011,1h 26m,"Chris Kentis,Laura Lau","Gustavo Hernández,Laura Lau,Oscar Estévez","Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens",5.3,"Drama,Horror,Mystery"
9066,A Thousand Words,2012,2012,1h 31m,Brian Robbins,Steve Koren,"Eddie Murphy,Cliff Curtis,Kerry Washington",5.9,"Comedy,Drama"
9067,Attenberg,2012,2010,1h 37m,Athina Rachel Tsangari,Athina Rachel Tsangari,"Ariane Labed,Vangelis Mourikis,Evangelia Randou",6.2,Drama
9068,The Ballad of Genesis and Lady Jaye,2012,2011,1h 5m,,,,6.7,"Documentary,Biography,Music"
9069,Footnote,2012,2011,1h 43m,Joseph Cedar,Joseph Cedar,"Shlomo Bar-Aba,Lior Ashkenazi,Aliza Rosen",7.1,"Comedy,Drama"
9070,Friends with Kids,2012,2011,1h 47m,Jennifer Westfeldt,Jennifer Westfeldt,"Jennifer Westfeldt,Adam Scott,Maya Rudolph",6.1,"Comedy,Drama,Romance"
9071,Jiro Dreams of Sushi,2012,2011,1h 21m,,,,7.9,Documentary
9072,Salmon Fishing in the Yemen,2012,2011,1h 47m,Lasse Hallström,"Simon Beaufoy,Paul Torday,Fuad Al-Qrize","Ewan McGregor,Emily Blunt,Amr Waked",6.8,"Comedy,Drama,Romance"
9073,Gerhard Richter Painting,2012,2011,1h 37m,Corinna Belz,Corinna Belz,"Gerhard Richter,Norbert Arns,Hubert Becker",7.2,Documentary
9074,21 Jump Street,2012,2012,1h 49m,"Phil Lord,Christopher Miller","Michael Bacall,Jonah Hill,Patrick Hasburgh","Jonah Hill,Channing Tatum,Ice Cube",7.2,"Action,Comedy,Crime"
9075,Casa de Mi Padre,2012,2012,1h 25m,Matt Piedmont,"Andrew Steele,Eva Maria Peters","Will Ferrell,Gael García Bernal,Diego Luna",5.5,"Comedy,Western"
