,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4615,Wes Craven's New Nightmare,1994,1994,1h 52m,Wes Craven,1,Wes Craven,,,Heather Langenkamp,Robert Englund,Jf Davis,Fantasy,Horror,Mystery,6.5
4616,What Happened Was,1994,,,,1,,,,,,,Comedy,Talk-Show,,
4617,When a Man Loves a Woman,1994,1994,2h 6m,Luis Mandoki,1,Ronald Bass,Al Franken,,Meg Ryan,Andy Garcia,Ellen Burstyn,Drama,Romance,,6.6
4618,White Fang 2: Myth of the White Wolf,1994,1994,1h 46m,Ken Olin,1,David Fallon,,,Scott Bairstow,Charmaine Craig,Al Harrington,Adventure,Family,,5.5
4619,Whore II,1994,1991,1h 25m,Ken Russell,1,David Hines,Ken Russell,Deborah Dalton,Theresa Russell,Benjamin Mouton,Antonio Fargas,Drama,,,5.6
4620,Widows' Peak,1994,1994,1h 41m,John Irvin,1,Hugh Leonard,,,Joan Plowright,Mia Farrow,Natasha Richardson,Comedy,Crime,Mystery,6.7
4621,With Honors,1994,1994,1h 41m,Alek Keshishian,1,William Mastrosimone,,,Joe Pesci,Brendan Fraser,Moira Kelly,Comedy,Drama,,6.7
4622,Without Warning,1994,1980,1h 29m,Greydon Clark,1,Lyn Freeman,Daniel Grodnik,Bennett Tramer,Jack Palance,Martin Landau,Tarah Nutter,Horror,Sci-Fi,Thriller,5.1
4623,Witness to the Execution,1994,,PG-13PG-13,Tommy Lee Wallace,1,Keith Pierce,Priscilla Prestwidge,Thomas Baum,Sean Young,Len Cariou,George Newbern,Crime,Drama,,5.1
4624,Wolf,1994,2021,1h 39m,Nathalie Biancheri,1,Nathalie Biancheri,,,Lily-Rose Depp,George MacKay,Paddy Considine,Drama,Mystery,Thriller,6.2
4625,World and Time Enough,1994,1994,,Eric Mueller,1,Eric Mueller,,,Matt Guidry,Gregory Gifford Giles,Kraig Swartz,Drama,Romance,,5.5
4626,Wyatt Earp,1994,1994,3h 11m,Lawrence Kasdan,1,Dan Gordon,Lawrence Kasdan,,Kevin Costner,Dennis Quaid,Gene Hackman,Adventure,Biography,Crime,6.7
4627,The Yearling,1994,1946,2h 8m,Clarence Brown,1,Paul Osborn,Marjorie Kinnan Rawlings,John Lee Mahin,Gregory Peck,Jane Wyman,Claude Jarman Jr.,Drama,Family,Western,7.2
4628,You So Crazy,1994,,,,1,,,,,,,Action,Sport,,6.4
4629,12 Monkeys,1995,1995,2h 9m,Terry Gilliam,1,Chris Marker,David Webb Peoples,Janet Peoples,Bruce Willis,Madeleine Stowe,Brad Pitt,Mystery,Sci-Fi,Thriller,8.0
4630,3 Ninjas Knuckle Up,1995,1993,1h 25m,Sang-ok Shin,1,Alex S. Kim,,,Victor Wong,Charles Napier,Michael Treanor,Action,Comedy,Family,4.4
4631,Above Suspicion,1995,2019,1h 44m,Phillip Noyce,1,Joe Sharkey,Chris Gerolmo,,Emilia Clarke,Jack Huston,Sophie Lowe,Action,Biography,Crime,5.7
4632,Ace Ventura: When Nature Calls,1995,1995,1h 30m,Steve Oedekerk,1,Jack Bernstein,Steve Oedekerk,,Jim Carrey,Ian McNeice,Simon Callow,Adventure,Comedy,Crime,6.4
4633,The Addiction,1995,1995,1h 22m,Abel Ferrara,1,Nicholas St. John,,,Lili Taylor,Christopher Walken,Annabella Sciorra,Drama,Horror,,6.5
4634,Amanda and the Alien,1995,,RR,Jon Kroll,1,Robert Silverberg,Jon Kroll,,Nicole Eggert,John Diehl,Michael Dorn,Comedy,Crime,Romance,4.6
4635,The Amazing Panda Adventure,1995,1995,1h 24m,Christopher Cain,1,John Wilcox,Steven Alldredge,Jeff Rothberg,Stephen Lang,Ryan Slater,Yi Ding,Adventure,Drama,Family,5.8
4636,The American President,1995,1995,1h 54m,Rob Reiner,1,Aaron Sorkin,,,Michael Douglas,Annette Bening,Martin Sheen,Comedy,Drama,Romance,6.8
4637,Angela,1995,,TV-14TV-14,,1,,,,,,,Comedy,Drama,Romance,8.3
4638,Angels and Insects,1995,1995,1h 56m,Philip Haas,1,A.S. Byatt,Belinda Haas,Philip Haas,Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Drama,Romance,,6.8
4639,Angus,1995,1995,1h 30m,Patrick Read Johnson,1,Chris Crutcher,Jill Gordon,,Charlie Talbert,George C. Scott,Kathy Bates,Comedy,Drama,,6.7
4640,Apollo 13,1995,1995,2h 20m,Ron Howard,1,Jim Lovell,Jeffrey Kluger,William Broyles Jr.,Tom Hanks,Bill Paxton,Kevin Bacon,Adventure,Drama,History,7.6
4641,Assassins,1995,1995,2h 13m,Richard Donner,1,Lilly Wachowski,Lana Wachowski,Brian Helgeland,Sylvester Stallone,Antonio Banderas,Julianne Moore,Action,Crime,Thriller,6.3
4642,Attack of the 60 Foot Centerfold,1995,1995,1h 24m,Fred Olen Ray,1,Steve Armogida,,,J.J. North,Ted Monte,Raelyn Saalman,Action,Adventure,Comedy,4.0
4643,Aurora: Operation Intercept,1995,1995,1h 34m,Paul Levine,1,Paul Levine,,,Bruce Payne,Natalya Andreychenko,Lance Henriksen,Action,Drama,Thriller,3.6
4644,Babe,1995,1995,1h 31m,Chris Noonan,1,Dick King-Smith,George Miller,Chris Noonan,James Cromwell,Magda Szubanski,Christine Cavanaugh,Comedy,Drama,Family,6.8
4645,The Baby-Sitters Club,1995,,TV-PGTV-PG,,1,,,,,,,Adventure,Comedy,Drama,7.4
4646,Bad Boys,1995,1995,1h 59m,Michael Bay,1,George Gallo,Michael Barrie,Jim Mulholland,Will Smith,Martin Lawrence,Lisa Boyle,Action,Comedy,Crime,6.9
4647,Bad Company,1995,1972,1h 24m,Wes Craven,1,Wes Craven,Ulla Isaksson,,Sandra Peabody,Lucy Grantham,David Hess,Crime,Horror,Thriller,6.0
